alpha,T_H_rtm,S_max_rtm,I_vault
1.0,0.039788735772973836,6.283185307179586,18.129440567308777
1.0303030303030303,0.04099445503882153,6.098385739321364,17.596221727093813
1.0606060606060606,0.04220017430466922,5.924146146769324,17.09347253489113
1.0909090909090908,0.04340589357051691,5.759586531581288,16.61865385336638
1.121212121212121,0.0446116128363646,5.603922030727739,16.169501046518636
1.1515151515151516,0.0458173321022123,5.456450398340166,15.743987861083935
1.1818181818181819,0.04702305136805999,5.316541413767342,15.340295864645887
1.2121212121212122,0.04822877063390768,5.183627878423159,14.956788468029739
1.2424242424242424,0.04943448989975537,5.057197930168935,14.591988749297306
1.2727272727272727,0.050640209165603065,4.9367884556411035,14.244560445742609
1.303030303030303,0.051845928431450757,4.821979421788985,13.9132915981672
1.3333333333333335,0.053051647697298455,4.712388980384689,13.597080425481579
1.3636363636363638,0.05425736696314615,4.607669225265029,13.2949230826931
1.393939393939394,0.05546308622899384,4.507502502976659,13.005903015678033
1.4242424242424243,0.056668805494841525,4.411598194402688,12.729181674918928
1.4545454545454546,0.05787452476068922,4.319689898685965,12.463990390024781
1.4848484848484849,0.05908024402653691,4.231532961978089,12.209623239207952
1.5151515151515151,0.0602859632923846,4.146902302738527,11.96543077442379
1.5454545454545454,0.06149168255823229,4.065590492880909,11.730814484729208
1.5757575757575757,0.06269740182407998,3.987406060325507,11.505221898484416
1.606060606060606,0.06390312108992767,3.9121719837155915,11.288142240022445
1.6363636363636362,0.06510884035577537,3.839724354387525,11.079102568910919
1.6666666666666667,0.06631455962162307,3.7699111843077517,10.877664340385264
1.696969696969697,0.06752027888747075,3.7025913417308276,10.683420334306957
1.7272727272727273,0.06872599815331845,3.6376335988934447,10.49599190738929
1.7575757575757576,0.06993171741916614,3.574915778222868,10.315026529675682
1.7878787878787878,0.07113743668501382,3.5143239853716333,10.140195571545586
1.8181818181818183,0.07234315595086152,3.455751918948772,9.971192312019825
1.8484848484848486,0.07354887521670922,3.3991002481463335,9.807730142970321
1.878787878787879,0.0747545944825569,3.344276050595586,9.64954094711596
1.9090909090909092,0.0759603137484046,3.2911923037607353,9.496373630495071
1.9393939393939394,0.07716603301425229,3.2397674240144743,9.347992792518587
1.9696969696969697,0.07837175228009999,3.1899248482604055,9.204177518787532
2.0,0.07957747154594767,3.141592653589793,9.064720283654388
2.0303030303030303,0.08078319081179536,3.0947032109989006,8.92942595106253
2.0606060606060606,0.08198891007764306,3.049192869660682,8.798110863546906
2.090909090909091,0.08319462934349074,3.0050016686511065,8.670602010452024
2.121212121212121,0.08440034860933844,2.962073073384662,8.546736267445565
2.1515151515151514,0.08560606787518613,2.9203537343229065,8.426359700298445
2.1818181818181817,0.08681178714103382,2.879793265790644,8.30932692668319
2.212121212121212,0.08801750640688151,2.840344042971594,8.195500530427255
2.242424242424242,0.0892232256727292,2.8019610153638697,8.084750523259318
2.2727272727272725,0.0904289449385769,2.7646015351590183,7.976953849615862
2.3030303030303028,0.09163466420442458,2.7282251991700837,7.871993930541969
2.3333333333333335,0.09284038347027229,2.6927937030769655,7.769760243132332
2.3636363636363638,0.09404610273611998,2.658270706883671,7.670147932322943
2.393939393939394,0.09525182200196768,2.6246217105940044,7.573057452166957
2.4242424242424243,0.09645754126781536,2.5918139392115793,7.4783942340148695
2.4545454545454546,0.09766326053366306,2.55981623625835,7.386068379273945
2.484848484848485,0.09886897979951074,2.5285989650844676,7.295994374648653
2.515151515151515,0.10007469906535843,2.498133917312366,7.20809082796614
2.5454545454545454,0.10128041833120613,2.4683942278205517,7.1222802228713045
2.5757575757575757,0.10248613759705381,2.4393542957285455,7.038488690837525
2.6060606060606064,0.10369185686290153,2.410989710894492,6.956645799083598
2.6363636363636367,0.10489757612874921,2.3832771854819117,6.8766843531171205
2.666666666666667,0.10610329539459691,2.3561944901923444,6.7985402127407895
2.6969696969696972,0.1073090146604446,2.329720394796925,6.722152120462804
2.7272727272727275,0.1085147339262923,2.3038346126325147,6.64746154134655
2.757575757575758,0.10972045319213998,2.2785177487574324,6.574412513419666
2.787878787878788,0.11092617245798768,2.2537512514883296,6.5029515078390165
2.8181818181818183,0.11213189172383536,2.229517367063724,6.433027298077306
2.8484848484848486,0.11333761098968305,2.205799097201344,6.364590837459464
2.878787878787879,0.11454333025553075,2.1825801593360667,6.297595144433575
2.909090909090909,0.11574904952137843,2.1598449493429825,6.231995195012391
2.9393939393939394,0.11695476878722613,2.137578506566251,6.167747821867934
2.9696969696969697,0.11816048805307382,2.1157664809890444,6.104811619603976
3.0,0.1193662073189215,2.0943951023931953,6.043146855769591
3.0303030303030303,0.1205719265847692,2.0734511513692633,5.982715387211895
3.0606060606060606,0.12177764585061689,2.052921932048776,5.923480581397917
3.090909090909091,0.12298336511646459,2.0327952464404544,5.865407242364604
3.121212121212121,0.12418908438231227,2.013059370261421,5.808461540982423
3.1515151515151514,0.12539480364815997,1.9937030301627534,5.752610949242208
3.1818181818181817,0.12660052291400767,1.9747153822564414,5.697824178297044
3.2121212121212124,0.12780624217985537,1.9560859918577955,5.644071120011222
3.2424242424242427,0.12901196144570307,1.9378048143637976,5.591322791786818
3.272727272727273,0.13021768071155074,1.9198621771937623,5.539551284455459
3.303030303030303,0.13142339997739844,1.9022487627240947,5.488729713038436
3.3333333333333335,0.13262911924324614,1.8849555921538759,5.438832170192632
3.3636363636363638,0.1338348385090938,1.8679740102425797,5.389833682172879
3.393939393939394,0.1350405577749415,1.8512956708654138,5.341710167153479
3.4242424242424243,0.1362462770407892,1.8349125233356314,5.2944383957627394
3.4545454545454546,0.1374519963066369,1.8188167994467224,5.247995953694645
3.484848484848485,0.13865771557248457,1.8030010011906639,5.202361206271214
3.515151515151515,0.13986343483833227,1.787457889111434,5.157513264837841
3.5454545454545454,0.14106915410417997,1.7721804712557807,5.113431954881962
3.5757575757575757,0.14227487337002764,1.7571619926858166,5.070097785772793
3.606060606060606,0.14348059263587534,1.7423959255203896,5.027491922026804
3.6363636363636362,0.14468631190172304,1.7278759594743862,4.985596156009914
3.666666666666667,0.14589203116757074,1.7135959928671598,4.944392881993302
3.6969696969696972,0.14709775043341844,1.6995501240731667,4.903865071485161
3.7272727272727275,0.14830346969926614,1.685732643389645,4.863996249765768
3.757575757575758,0.1495091889651138,1.672138025297793,4.82477047355798
3.787878787878788,0.1507149082309615,1.6587609210954106,4.786172309769516
3.8181818181818183,0.1519206274968092,1.6455961518803677,4.748186815247536
3.8484848484848486,0.15312634676265688,1.6326387018655617,4.710799517489682
3.878787878787879,0.15433206602850458,1.6198837120072371,4.673996396259294
3.909090909090909,0.15553778529435228,1.6073264739296615,4.637763866055733
3.9393939393939394,0.15674350456019998,1.5949624241302027,4.602088759393766
3.9696969696969697,0.15794922382604765,1.5827871384498193,4.566958310848775
4.0,0.15915494309189535,1.5707963267948966,4.532360141827194
